university,city,country,coursename,coursedescription,startdate,enddate,price,currency,timestamp
University of Portharcourt,Modakeke,Nigeria,Civil Engineer,Upgradable local portal,2016-03-25,2016-10-15,948.7,NGN,2024-08-02 21:09:34.366232
Suranaree University of Technology,Wang Muang,Thailand,Environmental Specialist,Switchable even-keeled matrices,2017-03-28,2017-08-13,127.56,THB,2024-08-02 21:09:34.366232
Samara State Academy for Railway Transportation,Igrim,Russia,Recruiter,Cross-platform exuding Graphical User Interface,2018-02-16,2018-06-22,255.9,RUB,2024-08-02 21:09:34.366232
University of Sierra Leone,Peyima,Sierra Leone,VP Product Management,Digitized tangible protocol,2017-01-02,2017-02-12,5082.74,SLL,2024-08-02 21:09:34.366232
Tver State University,Ryazan’,Russia,Human Resources Manager,Monitored executive extranet,2018-10-08,2018-11-04,9074.74,RUB,2024-08-02 21:09:34.366232
Wenzhou Medical College,Huangshi,China,Software Engineer III,Cross-group static migration,2018-08-07,2018-11-13,5588.07,CNY,2024-08-02 21:09:34.366232
Universitas Ahmad Dahlan,Mamasa,Indonesia,Health Coach II,Self-enabling exuding firmware,2018-02-04,2018-06-07,7918.41,IDR,2024-08-02 21:09:34.366232
"Physical Education Academy ""Jozef Pilsudski"" in Warsaw",Michałów,Poland,Editor,User-centric disintermediate architecture,2019-08-23,2020-03-15,4367.33,PLN,2024-08-02 21:09:34.366232
University of Management and Marketing,Białobrzegi,Poland,Assistant Manager,Quality-focused leading edge project,2019-08-25,2019-12-24,1035.88,PLN,2024-08-02 21:09:34.366232
International University of Travnik,Orahovica Donja,Bosnia and Herzegovina,Marketing Manager,Robust radical success,2018-01-06,2018-06-09,6764.98,BAM,2024-08-02 21:09:34.366232
Shenzhen University,Yongfeng,China,Associate Professor,Customizable transitional challenge,2016-04-07,2016-08-19,8932.24,CNY,2024-08-02 21:09:34.366232
National University of Defense Technology,Bashan,China,VP Marketing,Multi-lateral bandwidth-monitored forecast,2017-11-23,2018-06-15,3629.99,CNY,2024-08-02 21:09:34.366232
International University of Management,Omuthiya,Namibia,Safety Technician I,Fully-configurable eco-centric structure,2019-06-13,2019-07-28,2762.32,NAD,2024-08-02 21:09:34.366232
Chongqing University of Science and Technology,Kanghe,China,Electrical Engineer,Devolved hybrid approach,2017-05-09,2017-09-29,8169.93,CNY,2024-08-02 21:09:34.366232
University of the Philippines Visayas,Maluso,Philippines,Marketing Assistant,Re-contextualized asymmetric info-mediaries,2017-09-13,2017-10-07,6301.1,PHP,2024-08-02 21:09:34.366232
University of Split,Rezovac,Croatia,Chemical Engineer,User-centric bandwidth-monitored hardware,2017-11-28,2018-01-27,5043.98,HRK,2024-08-02 21:09:34.366232
University of Pula,Hvar,Croatia,Biostatistician IV,Realigned asynchronous emulation,2019-11-01,2020-06-04,3136.71,HRK,2024-08-02 21:09:34.366232
Carlow Institute of Technology,Donegal,Ireland,Geologist I,User-centric dynamic array,2018-06-28,2018-07-29,3357.12,EUR,2024-08-02 21:09:34.366232
Shanghai Ocean University,Dongluqiao,China,Food Chemist,Profound national protocol,2018-03-21,2018-08-01,4732.13,CNY,2024-08-02 21:09:34.366232
Universitas Negeri Malang,Krajan Winong,Indonesia,VP Accounting,Reactive executive matrix,2018-10-12,2019-01-20,4998.1,IDR,2024-08-02 21:09:34.366232
Universidad Católica de Honduras,El Escanito,Honduras,Chief Design Engineer,Fully-configurable reciprocal local area network,2016-12-03,2017-02-03,5641.98,HNL,2024-08-02 21:09:34.366232
Oslo School of Architecture,Arendal,Norway,Recruiter,Realigned static support,2019-04-03,2019-04-30,9518.6,NOK,2024-08-02 21:09:34.366232
Southwest University of Science and Technology,Xiangcunxiang,China,Desktop Support Technician,User-centric systematic core,2016-03-21,2016-04-01,7978.85,CNY,2024-08-02 21:09:34.366232
Rostov State Medical University,Rudnichnyy,Russia,Quality Engineer,User-friendly background algorithm,2019-04-06,2019-07-22,8730.19,RUB,2024-08-02 21:09:34.366232
Kazak American University,Fedorovka,Kazakhstan,Senior Developer,Persistent zero defect hierarchy,2019-06-13,2019-07-02,8964.43,KZT,2024-08-02 21:09:34.366232
Universidad de América Bogotá,Remolino,Colombia,Librarian,Decentralized heuristic initiative,2017-05-13,2017-10-01,849.93,COP,2024-08-02 21:09:34.366232
Universidad José Cecilio del Valle,San Luis,Honduras,Executive Secretary,Cross-platform global success,2016-12-18,2016-12-23,3777.33,HNL,2024-08-02 21:09:34.366232
Universitas Pattimura,Sifala,Indonesia,Human Resources Assistant IV,Seamless 24/7 circuit,2019-08-16,2019-10-10,4603.23,IDR,2024-08-02 21:09:34.366232
Bamenda University of Science & Technology,Maroua,Cameroon,Desktop Support Technician,Focused empowering portal,2018-05-08,2018-11-10,6735.5,XAF,2024-08-02 21:09:34.366232
Universidad Catolica de La Santísima Concepción,Putre,Chile,Financial Advisor,Networked full-range groupware,2018-11-07,2019-03-31,197.77,CLP,2024-08-02 21:09:34.366232
Instituto Nacional de Matemática Pura e Aplicada - IMPA,Murici,Brazil,Chief Design Engineer,Persistent tangible leverage,2018-02-06,2018-09-08,999.08,BRL,2024-08-02 21:09:34.366232
Central Radio and TV University,Dongqinggou,China,Tax Accountant,Open-source bifurcated functionalities,2019-08-06,2019-08-11,2479.12,CNY,2024-08-02 21:09:34.366232
Universitas Muslim Indonesia,Utara,Indonesia,Legal Assistant,Grass-roots 24 hour product,2017-07-11,2017-11-29,1865.17,IDR,2024-08-02 21:09:34.366232
Ural State Academy of Law,Glushkovo,Russia,Executive Secretary,Assimilated web-enabled task-force,2017-03-25,2017-09-23,7274.59,RUB,2024-08-02 21:09:34.366232
Universidade da Beira Interior,Quinta da Queimada,Portugal,Recruiter,Cross-group scalable interface,2018-02-03,2018-09-04,6377.51,EUR,2024-08-02 21:09:34.366232
